Reference,Bathrooms,Contrat,Energy_Class,Sale_Price,Property_Type,Year_Construction,Surface,Energy_Consumption,Elevator,Publish_date,Floor,Street,Heating,City,Country,Autonomous_Community,Bedrooms,Zone
556854,1 baño,venta,e,144990,Media,1975,75.00,"172,3 kW h/m&sup2; año",Sí,2024-10-23 10:43:55,3 (planta media),C. José María de Pereda,,Sevilla,es,Andalucía,3 dorm.,Cerro Del Aguila
599686,1 baño,venta,,115000,Media,1986,106.00,,,2024-10-30 12:53:34,,Calle Solidaridad,Independiente,Sevilla,es,Andalucía,,Palmete - La Negrilla
597607,1 baño,venta,g,112000,Popular,1962,59.00,"345,82 kWh/m&sup2; año",Sí,2024-10-30 11:25:24,3,C. Orquídea,,Sevilla,es,Andalucía,2 dorm.,Macarena - La Salle - Begoña
575802,2 baños,venta,,131000,Popular,2004,132.00,,,2024-10-30 10:50:43,Media,Calle Moriles,,Sevilla,es,Andalucía,,Palmete - La Negrilla
363215,1 baño,venta,e,96500,Media,1964,65.00,"126,2 kW h/m&sup2; año",,2024-10-30 09:41:06,,C/Exaltación de Baco,,Sevilla,es,Andalucía,2 dorm.,Nervion - San Pablo
598760,,venta,e,149900,Media,1964,59.00,"130,3 kWh/m&sup2; año",,2024-10-22 09:57:19,4,C. Tambre,,Sevilla,es,Andalucía,,Juncal - Ciudad Jardin - Tiro De Linea
593634,1 baño,venta,e,130000,Popular,1988,100.00,"241,2 kWh/m&sup2; año",,2024-09-06 18:26:07,Planta baja,Calle Altair,Independiente (Gas),Zaragoza,es,Aragón,3 dorm.,Oliver Y Valdefierro
597445,1 baño,venta,,129000,De época,1900,81.00,,,2024-10-10 19:33:25,Baja,Cantin y Gamboa,,Zaragoza,es,Aragón,3 dorm.,La Magdalena
595390,2 baños,venta,d,199000,Popular,1986,108.00,126 kWh/m&sup2; año,Sí,2024-10-14 11:44:17,,Calle Celanova,centralizada,Zaragoza,es,Aragón,4 dorm.,Bombarda - Monsalud
598231,1 baño,venta,,125000,Media,1997,61.00,,,2024-10-17 18:33:58,,Calle Vega,Independiente (Gas),Zaragoza,es,Aragón,2 dorm.,Oliver Y Valdefierro
596901,2 baños,venta,e,169000,Popular,1980,88.00,260 kWh/m&sup2; año,Sí,2024-10-14 11:29:04,,Julian Sanz Ibañez,Independiente,Zaragoza,es,Aragón,3 dorm.,Delicias
594805,1 baño,venta,,246000,Señorial,1971,98.00,,,2024-10-19 11:46:46,,C. de José Luis Albareda,centralizada (Gas),Zaragoza,es,Aragón,3 dorm.,Centro
599495,1 baño,venta,e,130000,Popular,1974,67.00,253 kW h/m&sup2; año,,2024-10-29 07:52:46,,Calle Monte  Perdido 4,,Zaragoza,es,Aragón,,Picarral
189952,,venta,f,195000,Popular,1973,80.00,"269,18 kW h/m&sup2; año",,2021-09-13 19:25:18,,Avenida San Juan de la Peña 131,Independiente (Radiadores),Zaragoza,es,Aragón,4 dorm.,Picarral
579782,2 baños,venta,e,160000,Señorial,1970,112.00,"162,6 kWh/m&sup2; año",,2024-07-01 09:44:49,4,Calle Benjamín Jarnés,centralizada,Zaragoza,es,Aragón,2 dorm.,San Pablo - El Gancho
597919,2 baños,venta,e,260000,Media,1993,114.00,"293,10 kW h/m&sup2; año",,2024-10-28 14:00:47,7 (planta alta),C. de Rosa Chacel,Independiente (Gas),Zaragoza,es,Aragón,4 dorm.,Actur
585861,1 baño,venta,g,77500,Popular,1936,55.00,446 kWh/m&sup2; año,,2024-06-25 19:27:39,4,Calle Utrillas,,Zaragoza,es,Aragón,2 dorm.,Las Fuentes
